x,y
-20.0000,20.0000
-19.2653,20.4656
-18.1076,21.1162
-16.9159,21.7024
-15.6939,22.2222
-14.4452,22.6743
-13.1735,23.0571
-11.8828,23.3695
-10.5768,23.6106
-9.2596,23.7797
-7.9351,23.8763
-6.6073,23.9000
-5.2802,23.8509
-3.9577,23.7289
-2.6440,23.5346
-1.3429,23.2685
-0.0584,22.9314
1.2057,22.5243
2.4455,22.0484
3.6574,21.5053
4.8376,20.8964
5.9827,20.2237
7.0891,19.4891
8.1535,18.6950
9.1727,17.8436
10.1437,16.9376
11.0635,15.9797
11.9293,14.9727
12.7386,13.9197
13.4888,12.8239
14.1778,11.6886
14.8035,10.5172
15.3639,9.3132
15.8574,8.0803
16.2826,6.8222
16.6380,5.5426
16.9226,4.2454
17.1357,2.9346
17.2765,1.6141
17.3446,0.2878
17.3398,-1.0402
17.2622,-2.3660
17.1119,-3.6855
16.8895,-4.9947
16.5955,-6.2898
16.2309,-7.5668
15.7967,-8.8219
15.2944,-10.0512
14.7253,-11.2512
14.0913,-12.4180
13.3941,-13.5484
12.6360,-14.6387
11.8192,-15.6859
10.9462,-16.6866
10.0195,-17.6379
9.0421,-18.5369
8.0168,-19.3809
6.9467,-20.1674
5.8350,-20.8940
4.6852,-21.5585
3.5006,-22.1589
2.2849,-22.6933
1.0417,-23.1603
-0.2253,-23.5583
-1.5122,-23.8862
-2.8152,-24.1429
-4.1303,-24.3278
-5.4536,-24.4402
-6.7810,-24.4799
-8.1086,-24.4466
-9.4324,-24.3405
-10.7484,-24.1620
-12.0525,-23.9114
-13.3410,-23.5897
-14.6099,-23.1978
-15.8553,-22.7368
-17.0736,-22.2082
-18.2611,-21.6135
-19.4141,-20.9546
-20.5292,-20.2334
-21.6030,-19.4520
-22.6324,-18.6129
-23.6142,-17.7186
-24.5454,-16.7718
-25.4232,-15.7752
-26.2450,-14.7320
-27.0084,-13.6453
-27.7109,-12.5183
-28.3506,-11.3545
-28.9254,-10.1573
-29.4336,-8.9304
-29.8738,-7.6774
-30.2445,-6.4022
-30.5447,-5.1086
-30.7734,-3.8004
-30.9300,-2.4816
-31.0140,-1.1562
-31.0252,0.1717
-30.9634,1.4983
-30.8290,2.8195
-30.6222,4.1314
-30.3438,5.4299
-29.9945,6.7111
-29.5754,7.9713
-29.0878,9.2066
-28.5332,10.4132
-27.9131,11.5876
-27.2296,12.7262
-26.4846,13.8256
-25.6804,14.8825
-24.8194,15.8936
-23.9042,16.8559
-22.9376,17.7666
-21.9225,18.6228
-20.8619,19.4221
-19.7590,20.1619
-18.6172,20.8401
-17.4399,21.4546
-16.2307,22.0036
-14.9932,22.4854
-13.7310,22.8986
-12.4481,23.2419
-11.1483,23.5142
-9.8356,23.7148
-8.5137,23.8431
-7.1869,23.8986
-5.8590,23.8813
-4.5340,23.7911
-3.2160,23.6283
-1.9089,23.3934
-0.6167,23.0872
0.6568,22.7105
1.9077,22.2645
3.1322,21.7505
4.3267,21.1701
5.4875,20.5250
6.6112,19.8172
7.6943,19.0487
8.7337,18.2220
9.7261,17.3395
10.6686,16.4039
11.5583,15.4180
12.3925,14.3847
13.1688,13.3072
13.8848,12.1887
14.5384,11.0326
15.1275,9.8424
15.6504,8.6217
16.1055,7.3741
16.4915,6.1034
16.8072,4.8134
